UnitID,Name,Color,Cost,Rarity,Type,Tribe,Min_HP,Min_ATK,Min_REC,Max_HP,Max_ATK,Max_REC,MaxLvl,Skill Name,Skill Description,CSkill Name,CSkill Description,Ability 1 Name,Ability 1 Description,Ability 2 Name,Ability 2 Description,Ability 3 Name,Ability 3 Description,Ability 4 Name,Ability 4 Description,Ability 1 Unlock,Ability 2 Unlock,Ability 3 Unlock,Ability 4 Unlock
1, Jerry , Red ,1,1, Offense Type , Unidentified None ,357,290,117,713,580,234,10, Rodent Fireworks , Low Red damage to all enemies. , Mini Flame , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
2, Irregular Jerry , Red ,1,2, Offense Type , Unidentified None ,600,488,197,1093,889,359,20, Star Mine , Low Red damage to all enemies. , Mini Burn , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
3, Agent Joe , Green ,1,1, Balanced Type , Unidentified None ,364,210,178,727,419,356,10, Intelligence , Slightly boost party ATK for 3 turns. , Mini Leaf , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
4, Ace Agent Joe , Green ,1,2, Balanced Type , Unidentified None ,612,353,300,1114,642,546,20, High Intelligence , Slightly boost party ATK for 3 turns. , Mini Plant , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
5, Watchdog Pochi , Blue ,1,1, Recovery Type , Unidentified None ,285,164,258,570,327,516,10, First Aid , Recover 150 HP. , Mini Ice , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
6, K-9 Wonder Pochi , Blue ,1,2, Recovery Type , Unidentified None ,480,275,435,874,501,791,20, Heal , Recover 560 HP. , Ice Cube , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
7, Electropod , Yellow ,1,1, Offense Type , Unidentified None ,349,287,121,698,574,241,10, Discharge , Low Yellow damage to 1 enemy. , Mini Spark , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
8, Hi-Voltage Electropod , Yellow ,1,2, Offense Type , Unidentified None ,588,484,203,1071,881,370,20, Super Discharge , Low Yellow damage to 1 enemy. , Mini Bolt , Low damage to 1 enemy. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
9, Brett , Red ,1,1, Offense Type , Animal None ,438,392,130,875,783,259,15, Fireplay , Low Red damage to 1 enemy. , Mini Bomb , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
10, Fire Fowl Brett , Red ,2,2, Offense Type , Animal None ,700,627,207,1275,1142,377,30, Fireplay Blaze , Low Red damage to 1 enemy. , Exploding Burst , Low damage to all enemies. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
